代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元)
512200.SH,南方中证全指房地产ETF,2017-09-25,--,0.98,0.98,0.95,0.95,76124600,73084573,--,--,0.9601
512200.SH,南方中证全指房地产ETF,2017-09-26,0.95,0.95,0.96,0.95,0.96,20895900,19954482,0.01,0.6316,0.9549
512200.SH,南方中证全指房地产ETF,2017-09-27,0.96,0.96,0.97,0.96,0.96,8733500,8383671,0.01,0.7322,0.9599
512200.SH,南方中证全指房地产ETF,2017-09-28,0.96,0.95,0.96,0.94,0.95,6940100,6628677,-0.02,-1.7653,0.9551
512200.SH,南方中证全指房地产ETF,2017-09-29,0.95,0.95,0.96,0.95,0.95,8949200,8517971,0.00,0.3171,0.9518
512200.SH,南方中证全指房地产ETF,2017-10-09,0.95,0.96,1.00,0.96,0.96,6424400,6209225,0.01,1.1591,0.9665
512200.SH,南方中证全指房地产ETF,2017-10-10,0.96,0.96,0.96,0.95,0.96,3839600,3672421,0.00,0.1042,0.9565
512200.SH,南方中证全指房地产ETF,2017-10-11,0.96,0.96,0.96,0.96,0.96,5830700,5596136,-0.00,-0.3122,0.9598
512200.SH,南方中证全指房地产ETF,2017-10-12,0.96,0.96,0.96,0.95,0.95,3134700,2993642,-0.00,-0.4175,0.9550
512200.SH,南方中证全指房地产ETF,2017-10-13,0.95,0.96,0.96,0.95,0.95,2570600,2454426,0.00,0.0000,0.9548
512200.SH,南方中证全指房地产ETF,2017-10-16,0.95,0.95,0.95,0.94,0.94,4705600,4467398,-0.01,-1.3627,0.9494
512200.SH,南方中证全指房地产ETF,2017-10-17,0.94,0.94,0.95,0.94,0.94,5663900,5333858,0.00,0.1063,0.9417
512200.SH,南方中证全指房地产ETF,2017-10-18,0.94,0.94,0.95,0.94,0.94,1795900,1693020,0.00,0.1062,0.9427
512200.SH,南方中证全指房地产ETF,2017-10-19,0.94,0.94,0.94,0.93,0.93,3076100,2874741,-0.01,-1.0604,0.9345
512200.SH,南方中证全指房地产ETF,2017-10-20,0.93,0.93,0.94,0.93,0.94,13962700,13129505,0.01,1.1790,0.9403
512200.SH,南方中证全指房地产ETF,2017-10-23,0.94,0.94,0.95,0.94,0.94,2839600,2684146,0.00,0.1059,0.9453
512200.SH,南方中证全指房地产ETF,2017-10-24,0.94,0.95,0.96,0.94,0.96,3609100,3435755,0.01,1.1640,0.9520
512200.SH,南方中证全指房地产ETF,2017-10-25,0.96,0.96,0.97,0.96,0.96,5109800,4919077,0.01,0.5230,0.9627
512200.SH,南方中证全指房地产ETF,2017-10-26,0.96,0.96,0.96,0.95,0.96,3212400,3080489,-0.00,-0.1041,0.9589
512200.SH,南方中证全指房地产ETF,2017-10-27,0.96,0.96,0.97,0.95,0.95,5818300,5587766,-0.01,-0.6250,0.9604
512200.SH,南方中证全指房地产ETF,2017-10-30,0.95,0.95,0.96,0.94,0.95,4073500,3864885,0.00,0.0000,0.9488
512200.SH,南方中证全指房地产ETF,2017-10-31,0.95,0.95,0.96,0.95,0.96,5978400,5689487,0.00,0.3145,0.9517
512200.SH,南方中证全指房地产ETF,2017-11-01,0.96,0.95,0.97,0.95,0.96,4422400,4261440,0.00,0.0000,0.9636
512200.SH,南方中证全指房地产ETF,2017-11-02,0.96,0.95,0.95,0.95,0.95,2363400,2249592,-0.01,-0.5225,0.9518
512200.SH,南方中证全指房地产ETF,2017-11-03,0.95,0.95,0.95,0.94,0.94,4231600,3995161,-0.01,-1.0504,0.9441
512200.SH,南方中证全指房地产ETF,2017-11-06,0.94,0.94,0.94,0.93,0.93,2091900,1948081,-0.01,-0.9554,0.9312
512200.SH,南方中证全指房地产ETF,2017-11-07,0.93,0.93,0.94,0.93,0.94,3609100,3373859,0.01,0.7503,0.9348
512200.SH,南方中证全指房地产ETF,2017-11-08,0.94,0.94,0.95,0.94,0.94,9678500,9111216,0.00,0.1064,0.9414
512200.SH,南方中证全指房地产ETF,2017-11-09,0.94,0.94,0.95,0.94,0.94,2200600,2071385,0.00,0.4251,0.9413
512200.SH,南方中证全指房地产ETF,2017-11-10,0.94,0.94,0.94,0.94,0.94,2046200,1924219,-0.01,-0.5291,0.9404
512200.SH,南方中证全指房地产ETF,2017-11-13,0.94,0.94,0.94,0.94,0.94,3929800,3694276,0.00,0.0000,0.9401
512200.SH,南方中证全指房地产ETF,2017-11-14,0.94,0.94,0.95,0.94,0.94,17555300,16525431,0.01,0.5319,0.9413
512200.SH,南方中证全指房地产ETF,2017-11-15,0.94,0.94,0.95,0.94,0.95,5844600,5514737,0.00,0.3175,0.9436
512200.SH,南方中证全指房地产ETF,2017-11-16,0.95,0.94,0.96,0.94,0.95,4214700,4023431,0.01,0.7384,0.9546
512200.SH,南方中证全指房地产ETF,2017-11-17,0.95,0.95,0.96,0.95,0.95,3478000,3324014,-0.01,-0.7330,0.9557
512200.SH,南方中证全指房地产ETF,2017-11-20,0.95,0.95,0.95,0.93,0.94,2974900,2782898,-0.00,-0.3165,0.9355
512200.SH,南方中证全指房地产ETF,2017-11-21,0.94,0.93,0.97,0.93,0.97,6095500,5883297,0.03,2.6455,0.9652
512200.SH,南方中证全指房地产ETF,2017-11-22,0.97,0.97,0.98,0.97,0.98,5102300,4991910,0.01,0.7216,0.9784
512200.SH,南方中证全指房地产ETF,2017-11-23,0.98,0.98,0.98,0.96,0.96,5623800,5479521,-0.02,-2.1494,0.9743
512200.SH,南方中证全指房地产ETF,2017-11-24,0.96,0.96,0.97,0.95,0.96,2651000,2542450,0.01,0.9414,0.9591
512200.SH,南方中证全指房地产ETF,2017-11-27,0.96,0.96,0.97,0.95,0.96,4631500,4470867,-0.01,-0.7254,0.9653
512200.SH,南方中证全指房地产ETF,2017-11-28,0.96,0.95,0.96,0.95,0.95,2474700,2357453,-0.00,-0.3132,0.9526
512200.SH,南方中证全指房地产ETF,2017-11-29,0.95,0.95,0.99,0.95,0.99,6008400,5851209,0.04,3.7696,0.9738
512200.SH,南方中证全指房地产ETF,2017-11-30,0.99,0.99,0.99,0.96,0.96,2272100,2219869,-0.03,-2.8254,0.9770
512200.SH,南方中证全指房地产ETF,2017-12-01,0.96,0.96,0.98,0.96,0.97,3226300,3127056,0.00,0.4154,0.9692
512200.SH,南方中证全指房地产ETF,2017-12-04,0.97,0.96,0.97,0.96,0.96,10422400,10018000,-0.00,-0.3102,0.9612
512200.SH,南方中证全指房地产ETF,2017-12-05,0.96,0.96,0.96,0.96,0.96,1494500,1435031,-0.01,-0.6224,0.9602
512200.SH,南方中证全指房地产ETF,2017-12-06,0.96,0.95,0.96,0.95,0.95,3957200,3785568,-0.01,-0.5219,0.9566
512200.SH,南方中证全指房地产ETF,2017-12-07,0.95,0.96,0.98,0.95,0.95,3107900,2988635,0.00,0.0000,0.9616
512200.SH,南方中证全指房地产ETF,2017-12-08,0.95,0.95,0.96,0.94,0.95,3869000,3683638,0.00,0.2099,0.9521
512200.SH,南方中证全指房地产ETF,2017-12-11,0.95,0.95,0.96,0.95,0.96,616700,589520,0.00,0.4188,0.9559
512200.SH,南方中证全指房地产ETF,2017-12-12,0.96,0.96,0.97,0.95,0.95,1313100,1261054,-0.00,-0.4171,0.9604
512200.SH,南方中证全指房地产ETF,2017-12-13,0.95,0.96,0.96,0.95,0.96,333900,318767,0.00,0.2094,0.9547
512200.SH,南方中证全指房地产ETF,2017-12-14,0.96,0.96,0.96,0.95,0.95,1081100,1035623,-0.00,-0.2090,0.9579
512200.SH,南方中证全指房地产ETF,2017-12-15,0.95,0.95,0.95,0.94,0.94,1152800,1092437,-0.01,-1.1518,0.9476
512200.SH,南方中证全指房地产ETF,2017-12-18,0.94,0.95,0.95,0.85,0.93,1857300,1725287,-0.01,-1.0593,0.9289
512200.SH,南方中证全指房地产ETF,2017-12-19,0.93,0.94,0.95,0.94,0.95,1503500,1413952,0.01,1.2848,0.9404
512200.SH,南方中证全指房地产ETF,2017-12-20,0.95,0.95,0.95,0.93,0.93,1576500,1472602,-0.01,-1.2685,0.9341
512200.SH,南方中证全指房地产ETF,2017-12-21,0.93,0.94,0.95,0.93,0.95,586400,553750,0.01,1.4989,0.9443
512200.SH,南方中证全指房地产ETF,2017-12-22,0.95,0.95,0.95,0.94,0.94,263800,250259,-0.00,-0.3165,0.9487
512200.SH,南方中证全指房地产ETF,2017-12-25,0.94,0.96,0.97,0.95,0.95,1625500,1561057,0.01,0.8466,0.9604
512200.SH,南方中证全指房地产ETF,2017-12-26,0.95,0.95,0.96,0.95,0.96,2025600,1938379,0.01,0.6296,0.9569
512200.SH,南方中证全指房地产ETF,2017-12-27,0.96,0.96,0.96,0.95,0.95,2465100,2364887,-0.01,-0.5214,0.9593
