代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元)
512660.SH,国泰中证军工ETF,2016-08-08,--,0.99,1.02,0.98,1.02,230005798,229587030,--,--,0.9982
512660.SH,国泰中证军工ETF,2016-08-09,1.02,1.01,1.02,1.01,1.02,47488032,48117112,-0.00,-0.0983,1.0132
512660.SH,国泰中证军工ETF,2016-08-10,1.02,1.01,1.02,1.01,1.01,36199625,36870948,-0.00,-0.2953,1.0185
512660.SH,国泰中证军工ETF,2016-08-11,1.01,1.01,1.01,0.99,1.00,22093786,22133596,-0.02,-1.6782,1.0018
512660.SH,国泰中证军工ETF,2016-08-12,1.00,1.00,1.00,0.99,1.00,12558430,12520435,0.00,0.5020,0.9970
512660.SH,国泰中证军工ETF,2016-08-15,1.00,1.00,1.03,1.00,1.02,65948162,67194528,0.02,2.0979,1.0189
512660.SH,国泰中证军工ETF,2016-08-16,1.02,1.02,1.03,1.02,1.03,27983838,28829385,0.01,0.6849,1.0302
512660.SH,国泰中证军工ETF,2016-08-17,1.03,1.03,1.05,1.02,1.04,51712630,53800623,0.01,0.9718,1.0404
512660.SH,国泰中证军工ETF,2016-08-18,1.04,1.04,1.04,1.03,1.03,20721800,21404193,-0.01,-0.5775,1.0329
512660.SH,国泰中证军工ETF,2016-08-19,1.03,1.03,1.03,1.02,1.03,20888900,21493500,-0.00,-0.1936,1.0289
512660.SH,国泰中证军工ETF,2016-08-22,1.03,1.03,1.03,1.00,1.00,31964955,32609168,-0.03,-2.5218,1.0202
512660.SH,国泰中证军工ETF,2016-08-23,1.00,1.01,1.02,1.00,1.01,13677818,13838454,0.01,0.4975,1.0117
512660.SH,国泰中证军工ETF,2016-08-24,1.01,1.01,1.02,1.01,1.02,28168723,28680470,0.01,0.7921,1.0182
512660.SH,国泰中证军工ETF,2016-08-25,1.02,1.01,1.01,1.00,1.01,14952300,15015093,-0.01,-0.7859,1.0042
512660.SH,国泰中证军工ETF,2016-08-26,1.01,1.01,1.02,1.01,1.01,16143564,16410496,0.00,0.1980,1.0165
512660.SH,国泰中证军工ETF,2016-08-29,1.01,1.02,1.03,1.01,1.02,24900466,25420845,0.01,0.5929,1.0209
512660.SH,国泰中证军工ETF,2016-08-30,1.02,1.02,1.03,1.01,1.03,30180849,31010077,0.01,0.8841,1.0275
512660.SH,国泰中证军工ETF,2016-08-31,1.03,1.03,1.03,1.01,1.02,15497111,15821022,-0.00,-0.3895,1.0209
512660.SH,国泰中证军工ETF,2016-09-01,1.02,1.02,1.02,1.01,1.01,24694844,25149806,-0.01,-0.9775,1.0184
512660.SH,国泰中证军工ETF,2016-09-02,1.01,1.01,1.01,1.00,1.00,31864700,31982349,-0.01,-1.1846,1.0037
512660.SH,国泰中证军工ETF,2016-09-05,1.00,1.00,1.01,1.00,1.00,19958160,20051567,0.00,0.1998,1.0047
512660.SH,国泰中证军工ETF,2016-09-06,1.00,1.00,1.01,0.99,1.01,22102645,22182544,0.01,0.8973,1.0036
512660.SH,国泰中证军工ETF,2016-09-07,1.01,1.01,1.03,1.01,1.02,45252245,46227488,0.01,0.6917,1.0216
512660.SH,国泰中证军工ETF,2016-09-08,1.02,1.01,1.02,1.01,1.02,14551545,14818161,0.00,0.0981,1.0183
512660.SH,国泰中证军工ETF,2016-09-09,1.02,1.02,1.03,1.02,1.02,12619600,12886893,-0.00,-0.1961,1.0212
512660.SH,国泰中证军工ETF,2016-09-12,1.02,1.01,1.01,0.99,0.99,48813800,48662246,-0.03,-2.5540,0.9969
512660.SH,国泰中证军工ETF,2016-09-13,0.99,0.99,1.00,0.99,0.99,11694500,11573978,0.00,0.2016,0.9897
512660.SH,国泰中证军工ETF,2016-09-14,0.99,0.99,0.99,0.98,0.99,13952500,13771276,-0.01,-0.7042,0.9870
512660.SH,国泰中证军工ETF,2016-09-19,0.99,0.99,0.99,0.99,0.99,12028400,11911356,0.01,0.5066,0.9903
512660.SH,国泰中证军工ETF,2016-09-20,0.99,0.99,0.99,0.98,0.99,11090258,10934959,-0.01,-0.6048,0.9860
